domain,checked_url,final_url,http_status,fetch_error,shopify_detected,shopify_confidence,shopify_signals,checked_at
rainbowshops.com,https://www.rainbowshops.com/,https://www.rainbowshops.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.569585+00:00
readerswarehouse.co.za,https://www.readerswarehouse.co.za/,https://www.readerswarehouse.co.za/,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.571964+00:00
ridge.com,https://ridge.com/,https://ridge.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.654924+00:00
rojaprofessional-de.myshopify.com,https://rojaprofessional-de.myshopify.com,https://rojaprofessional-de.myshopify.com,429,HTTPError: 429,1,high,myshopify_domain,2026-03-16T14:32:19.728644+00:00
sanda-beauty.com,https://sanda-beauty.com,https://sanda-beauty.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.730733+00:00
shoeme.com.au,https://www.shoeme.com.au/,https://www.shoeme.com.au/,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.764970+00:00
shop.drtoddstrong.com,https://shop.drtoddstrong.com,https://shop.drtoddstrong.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.764497+00:00
shop.lalabu.com,https://shop.lalabu.com/,https://shop.lalabu.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.765177+00:00
shop.swimwearbali.com,https://shop.swimwearbali.com,https://shop.swimwearbali.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.847629+00:00
sohotswimwear.com,https://sohotswimwear.com,https://sohotswimwear.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.854916+00:00
somashop.lt,https://www.somashop.lt,https://www.somashop.lt,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.856419+00:00
star2go.com.br,https://star2go.com.br,https://star2go.com.br,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.952659+00:00
stationery.ecosphere.co.in,https://stationery.ecosphere.co.in,https://stationery.ecosphere.co.in,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.960544+00:00
sticky.com.au,https://sticky.com.au/,https://sticky.com.au/,200,,0,none,,2026-03-16T14:32:19.957232+00:00
studioveyas.com,https://studioveyas.com,https://studioveyas.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.999865+00:00
stylistsport.com,https://stylistsport.com,https://stylistsport.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:19.998890+00:00
surftripsupply.com,https://surftripsupply.com,https://surftripsupply.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.002983+00:00
sweetcokie.com,https://sweetcokie.com,https://sweetcokie.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.007856+00:00
sweets-essentials.com,https://sweets-essentials.com,https://sweets-essentials.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.119090+00:00
swimberry.com,https://www.swimberry.com,https://www.swimberry.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.125883+00:00
swissbased.shop,https://swissbased.shop,https://swissbased.shop,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.146039+00:00
teddyblaze.com,https://teddyblaze.com,https://teddyblaze.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.167702+00:00
temisstore.co,https://www.temisstore.co,https://www.temisstore.co,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.181298+00:00
tenantennas.com,https://tenantennas.com,https://tenantennas.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.184820+00:00
