domain,signals
bitbucket.org,api|app|docs|developer|developers|status|auth|dashboard|platform|console
bitrix24.ru,api|app|docs|developer|developers|status|auth|dashboard|platform|console
bitwarden.com,api|docs|status
bkn.go.id,api|docs|auth|dashboard
blic.rs,api
blizzard.com,api|app
blogger.com,api|status
blogspot.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
blooket.com,api|status|dashboard
bloomberg.com,api|developer|console
blueapron.com,api
bluehost.com,app|status|dashboard
blxrbdn.com,api
bmj.com,developer|status|auth
boardgamearena.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
bol.com,api|developers
booking.com,api|developer|developers|auth
bookmyshow.com,docs
bookoapp.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
box.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
boyfriendtv.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
branch.io,api|app|docs|developer|developers|status|dashboard
brave.com,api|status
braze.com,api|developer|status|dashboard|platform
brevo.com,api|app|developers|status|auth|dashboard
brex.com,api|app|developer|developers|status|dashboard
bsky.app,api|docs|status
btloader.com,api
budibase.com,docs|status
buffer.com,api|developers|status|auth
bugsnag.com,api|app|docs|status
buildkite.com,api|status|auth
business.site,api|app|docs|developer|developers|status|auth|dashboard|platform|console
businessinsider.com,api|auth
businesswire.com,api|platform
buydomains.com,api
buzzfeed.com,api|auth|dashboard
byteconnect.io,api|dashboard
byteport.io,docs|auth|dashboard
cafe24.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
caixa.gov.br,api
cal.com,api|app|docs|developer|status|auth|console
calculator.net,api|app|docs|developer|developers|status|auth|dashboard|platform|console
calendly.com,api|docs|developer|developers|status|auth
caliente.mx,auth
cam4.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
cambridge.org,api|docs|auth
canada.ca,app|auth
canny.io,api|app|docs|developer|developers|status|auth|dashboard|platform|console
canva.com,api|developer|developers|status
cardekho.com,api
cardmarket.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
carsensor.net,api
carwale.com,api|docs|status|auth
casalemedia.com,api
casinoplus.com.ph,api
cbc.ca,api
cbsnews.com,api
cdc.gov,api|docs|developer|auth
cdek.ru,api|docs|developer
cdiscount.com,auth
cdn-vk.ru,docs
cdninstagram.com,platform
cdnvideo.ru,api|status|dashboard
ceneo.pl,api|app|developers
cerebras.ai,api|docs|status
chameleon.io,api|app|docs|developers|status|dashboard
championat.com,api
change.org,api|app|docs|developer|developers|status|auth|dashboard|platform|console
character.ai,docs|status|auth
chasi.co,app
chatgpt.com,api|status
chaturbate.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
checkpoint.com,developer|status|auth
chess.com,api
chroma.com,api
circleci.com,api|app|docs|developer|status|auth
cisco.com,api|app|docs|developer|status|platform
cityheaven.net,api
clarifai.com,api|docs|developer|status
clarity.ms,api
classlink.com,docs|developer|developers|status|auth
clay.com,api|app|docs|status
clearbit.com,app|docs|status|dashboard
clerk.com,api|docs|status|dashboard
clevelandclinic.org,dashboard
clever.com,api|status
clickpetroleoegas.com.br,docs
clickup.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
cloud.com,api|docs|developer|status
cloud.microsoft,status
cloudflare.com,api|docs|developer|developers|auth
cloudinary.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
cloudns.net,api|app|docs|developer|developers|status|auth|dashboard|platform|console
cmediahub.ru,api|app|docs|developer|developers|status|auth|dashboard|platform|console
cmoa.jp,api
cnbc.com,api|app|developer
cnet.com,platform
cnn.com,api|developer
cnnbrasil.com.br,api|docs
cockroachlabs.com,docs
codeium.com,api|docs|status|auth
codesandbox.io,api|app|docs|developer|developers|status|auth|dashboard|platform|console
cofia.ai,auth
cohere.com,api|docs|status|dashboard
coinmarketcap.com,api|status
com.se,api|app|docs|platform
comcast.com,api|developer|developers
comcast.net,developer|developers|status|auth|console
company-target.com,api
composio.dev,app|docs|status|auth|dashboard|platform
confluent.io,docs|developer
consultant.ru,api
contentful.com,api|app|docs|developers|status|auth
convertkit.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
convex.dev,api|docs|status|auth|dashboard|console
conviva.com,api|docs|developer|status|auth
cookpad.com,api|status
coolmathgames.com,api|developer|developers
cootlogix.com,dashboard
copy.ai,api|app|docs|status
corvera.ai,app
costco.com,api|developer|auth
coupang.com,developers|auth
courier.com,api|app|docs|status
coursera.org,api|status
cpanel.net,docs|status|auth
cqloud.com,api|auth
crazygames.com,api|docs|developer|developers|auth
creativecommons.org,api|status
cricbuzz.com,api|auth
criteo.com,api|developers|status
crosslayerlabs.com,platform
crowdstrike.com,api|docs|developer
crpt.ru,docs
cspserver.net,api
cursor.com,api|docs|status
cursor.sh,docs|auth
customer.io,api|app|docs|status|auth
czbooks.net,api|auth
dagbladet.no,api
daily.co,api|app|docs|developer|developers|status|auth|dashboard|platform|console
dailymail.co.uk,api
dailymotion.com,api|developer|developers|status
dantri.com.vn,api|app|docs|console
databricks.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
datadog.com,docs
datadoghq.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
datadome.co,api|app|docs|status|auth
datarobot.com,app|docs|developers|status
datto.com,api|status|auth
daum.net,status
dbankcloud.cn,app
dcinside.com,api|app
ddns.net,api|app|docs|developers|status|auth|dashboard|console
ddnss.de,api|docs|status
deel.com,api|app|developer|status
deepl.com,api|app|developers|auth
deepnote.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
deepseek.com,api|status|platform
deezer.com,api|developers|auth|platform
dell.com,api|docs|developer|console
deloitte.com,api|docs|developer
demdex.net,api|docs|console
descript.com,api|app|developer|status|auth
deviantart.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
dfn.nl,api
dhl.com,api|docs|developer
didit.me,api|docs|status
digi24.ro,api
digicert.com,api|app|docs|status
digikala.com,api|auth
digitalocean.com,api|docs|developers|status|console
discogs.com,api|status|platform
discord.com,app|docs|status
discordapp.com,docs|status
disqus.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
divar.ir,api
dlsite.com,auth
dmm.co.jp,platform
dns-shop.ru,api
dnsmadeeasy.com,api|auth
dnspod.net,status
docker.com,api|app|docs|status|auth
docker.io,docs|status|auth
docusign.com,api|app|developer|developers|status
doi.org,dashboard
doubleverify.com,api|app|developer|status|dashboard
dreamhost.com,api|developer|status
dribbble.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
drift.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
drom.ru,api|app|docs|developer|developers|status|auth|dashboard|platform|console
dropbox.com,api|developer|developers|status
dropcatch.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
dub.co,api|app|docs|developer|developers|status|auth|dashboard|platform|console
duckdns.org,api|app|docs|developer|developers|status|auth|dashboard|platform|console
duckduckgo.com,api
duolingo.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
dw.com,api
dynatrace.com,api|docs|developer|status
dyndns.org,api|app|docs|developer|auth|dashboard
e-hentai.org,api
e2b.dev,api|app|docs|developer|developers|status|auth|dashboard|platform|console
ea.com,api|docs|auth
easy4ipcloud.com,app
ebay.co.uk,docs|auth
ebay.com,api|app|docs|developer|auth
ebay.de,docs|auth
ebay.it,docs|auth
economist.com,api|developer|platform
ecosia.org,api|dashboard
edgecdn.ru,api|app|docs|developer|developers|status|auth|dashboard|platform|console
edgekey.net,developer|developers|status
edgesuite.net,api|app|docs|dashboard
edna.ru,api|app|docs
eenadu.net,api|app
elastic.co,docs|status|auth
elasticbeanstalk.com,docs
elcorteingles.es,api
elegantthemes.com,status|auth
eleven-labs.com,api
elmundo.es,app
elpais.com,api|app|auth
elsevier.com,api|auth
eltiempo.es,api|auth
emag.ro,api|app|docs|developer|developers|status|auth|dashboard|platform|console
emaktab.uz,api|app|docs|developer|developers|status|auth|dashboard|platform|console
endclose.com,api|app|status|auth
epa.gov,api|app|developer
epicgames.com,app|docs|status
epicgames.dev,api
eporner.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
escortbabylon.net,api|app|docs|developer|developers|status|auth|dashboard|platform|console
eset.com,api|status
espn.com,api|developer|developers|platform
espncricinfo.com,api
etsy.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
eu.com,api|app|docs|developer|auth|dashboard|platform|console
eventbrite.com,api|app|docs|developer|developers|status|dashboard|platform|console
everesttech.net,api|app|docs|developer|developers|status|auth|dashboard|platform|console
ewaybillgst.gov.in,api|docs|dashboard
exclusive-spin.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
expectedparrot.com,api|docs
expressen.se,api|app|docs|developer|developers|status|auth|dashboard|platform|console
eye4.cn,api|app|console
ezvizlife.com,api|app
ezvizru.com,api|auth
f5.com,api
facebook.com,api|developer|developers|platform
facebook.net,developer|developers
fandom.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
fao.org,api|dashboard
faphouse.com,api
faphouse.tv,api|app|docs|developer|developers|status|auth|dashboard|platform|console
faphouse2.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
fast.com,api
fastcompany.com,api|status|auth
fatalmodel.com,docs|dashboard
fauna.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
fazenda.gov.br,console
fb.com,api|status
fb.me,api|app|docs|developer|developers|status|auth|dashboard|platform|console
fbcdn.net,api
fbsbx.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
fc2.com,docs|auth
fda.gov,api|developer
feast.dev,docs
fed10.ai,app
fedex.com,api|developer|auth
fedoraproject.org,docs|developer|developers|status
fetlife.com,status
fidelity.com,app|auth
figma.com,api|developers|status
filmweb.pl,api|app|docs|developer|developers|status|auth|dashboard|platform|console
filmyfiy.fyi,api|app|docs|developer|developers|status|auth|dashboard|platform|console
filmyzilla28.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
filmyzilla29.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
filmyzilla30.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
finn.no,api|dashboard
firebaseio.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
firetvcaptiveportal.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
fireworks.ai,api|app|docs|developer|status
fiverr.com,api|developers|auth
fivetran.com,api|docs|developers|status
flagsmith.com,api|app|docs|status
flexport.com,api|app|docs|developer|developers|status
flickr.com,api
flipkart.com,auth
flocksafety.com,api|app|docs|status
fly.io,api|app|status|auth
fmkorea.com,auth
focus.de,api
fontawesome.com,api|docs|status
forbes.com,auth
force.com,app|developer
forter.com,api|docs
fortune.com,dashboard
foxnews.com,api|status
free.fr,api|docs|developer|status
freepik.com,api|docs|status|auth
freshbooks.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
freshdesk.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
freshworks.com,app|docs|developer|developers|status|auth|dashboard|platform|console
frontapp.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
frontiersin.org,api|docs
ft.com,api|app|docs|developer
ftc.gov,api
fullseam.com,app
fullstory.com,api|app|developer|status|auth
furaffinity.net,api|status
futbol24.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
fwmrm.net,api|developer|status
g.page,api|app|docs|developer|developers|status|auth|dashboard|platform|console
game8.jp,platform
gamewith.jp,api|app|docs|developer|developers|status|auth|dashboard|platform|console
gandi.net,api|docs|status|console
garmin.com,api|developer
gartner.com,api|status
gcdn.co,api|app|docs|developer|developers|status|auth|dashboard|platform|console
gdemoideti.ru,api|app|docs|developer|developers|status|auth|dashboard|platform|console
gdz-raketa.ru,app
genius.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
getgrass.io,api|app
getweave.com,app|status|auth
ghost.org,docs|status|auth
giphy.com,api|developer|developers|status
gismeteo.ru,api
github.com,api|docs|developer|developers|status
github.io,api|app|docs|developer|developers|status|auth|dashboard|platform|console
githubusercontent.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
gitlab.com,docs|developer|status
gitpod.io,api|app|docs|developer|developers|status|auth|dashboard|platform|console
gizmodo.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
gladly.com,developer
globalsign.com,docs|status
globo.com,app|dashboard
gob.mx,api
godaddy.com,api|developer|developers|status|dashboard
gofundme.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
gong.io,api|app|developer|status
goo.gl,app
goodreads.com,api
google.cn,developer|developers
google.com,api|docs|developer|developers
googleapis.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
googleblog.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
googletagservices.com,console
googleusercontent.com,api|app|docs|developers|status|auth|dashboard|platform|console
gorgias.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
goskope.com,status
gotomeeting.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
gov.br,api|app
gov.uk,api
gradio.app,api|app|docs|developer|developers|status|auth|dashboard|platform|console
grafana.com,docs|developers|status|auth
grammarly.com,api|app|developer|status|auth
gravatar.com,api|docs
greenhouse.io,api|app|developer|developers|status|auth
grok.com,status|auth
groq.com,api|docs|status|console
groww.in,api|app
gst.gov.in,developer|dashboard
gumgum.com,api|app|docs
gusto.com,api|app|docs|status
h2o.ai,docs
haberler.com,api|app
happymh.com,api
hashicorp.com,docs|developer|status|auth
hasil.gov.my,api|app|docs|developer|developers|status|auth|dashboard|platform|console
hasznaltauto.hu,api
hbr.org,api|app|docs|developer|developers|status|auth|dashboard|platform|console
hcaptcha.com,api|docs|status|dashboard
healthline.com,console
height.app,api|app|docs|developer|developers|status|auth|dashboard|platform|console
hellosign.com,api|app|developers|status
helpscout.com,docs|developer|status
hepsiburada.com,docs|developers
here.com,developer|developers|status|platform
heroku.com,api|docs|status|auth|dashboard
herokuapp.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
hetzner.com,api|docs|developers|status|console
hex.tech,api|app|docs|developer|developers|status|auth|dashboard|platform|console
hianime.to,api
hichina.com,api
hightouch.com,api|app|docs
hik-connect.com,api
hilton.com,api
hln.be,app
hltv.org,api|app|docs|developer|developers|status|auth|dashboard|platform|console
hm.com,api|app
hollywoodbets.net,api|app
homedepot.com,api|docs|status
hootsuite.com,api|docs|developer|developers|status|platform
hostgator.com,app|status|dashboard
hostgator.com.br,api|app|docs|developer|developers|status|auth|dashboard|platform|console
hostinger.com,api|developers|status|auth
hotjar.com,docs|status
hotstar.com,api|status
hp.com,developer|developers
huawei.com,app|developer|developers
hubspot.com,api|app|developer|developers|status
huffingtonpost.com,status
huffpost.com,auth
huggingface.co,status
hulu.com,docs|auth
humoruniv.com,api
hurriyet.com.tr,api
iana.org,api|app
ibm.com,api|app|developer
icloud.com,developer|status
id5-sync.com,api
idealista.com,api|app|developers
idealista.it,app
ieee.org,app|developer
ietf.org,status|auth|dashboard
ilfattoquotidiano.it,app
ilmeteo.it,dashboard
ilovepdf.com,api|developer|status
imagefap.com,auth
imdb.com,app|developer
imgsrc.ru,api|app|docs|developer|developers|status|auth|dashboard|platform|console
imgur.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
in.net,auth|platform
indeed.com,docs|developer|auth|console
independent.co.uk,api|app|docs|developer|developers|status|auth|dashboard|platform|console
index.hr,auth
indiamart.com,app
indiatimes.com,api|docs
indilogic.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
infobae.com,api|app
inkuai.com,api
inmarsat.com,api|app|developer
inmobi.com,api|dashboard
inngest.com,api|app|docs|status
inps.it,api
instacart.com,api|docs|dashboard
instagram.com,api|developers|auth|platform
instapage.com,api|app|status|auth
instructure.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
intel.com,api|developer|developers
intentiq.com,api|app|status
intercom.com,app|docs|developers|status
intercom.io,api|app|docs|developers|status
intuit.com,api|app|developer|developers
inven.co.kr,api|app|console
investopedia.com,api|auth
ip-api.com,status
ipify.org,api
ipinfo.io,api
iso.org,api|status
issuu.com,api|developer|developers|auth|console
it.com,docs|developer|developers|console
iterable.com,api|app|docs|status|auth
itmedia.co.jp,status
ivi.ru,api|app|docs|developer|developers|status|auth|dashboard|platform|console
ixbt.com,auth
ixl.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
jagran.com,api|auth|dashboard
jamanetwork.com,app
jamfcloud.com,api|app|docs|developer|developers|status|dashboard|platform|console
janitorai.com,status|auth
jasper.ai,api|app|developers|status
jd.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
jetbrains.com,status|platform
jimdo.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
jio.com,api|developer|developers|auth|dashboard
jotform.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
joyclub.de,api|app|docs|developer|developers|status|auth|dashboard|platform|console
jquery.com,api|docs|status
jra.jp,app
jstor.org,docs
jusbrasil.com.br,api|app|docs|developer|developers|status|auth|dashboard|platform|console
justdial.com,api|dashboard|console
jw.org,docs
kargo.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
kaspersky-labs.com,docs
kaspersky.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
kaspi.kz,auth
keenetic.io,auth
kemendikdasmen.go.id,developer|auth
kernel.org,docs
kick.com,api|docs|developers|status|auth|dashboard
kicker.de,api
kickstarter.com,api|docs|status
kinnser.net,api
kkstories.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
klarna.com,api|app|docs|developers|status
klaviyo.com,api|docs|developers|status
kleinanzeigen.de,api|developer|auth
kohls.com,api|docs|auth
kontur.ru,api|developer|auth|platform
kooora.com,auth
kslawin.com,app|developers
kueezrtb.com,dashboard
kustomer.com,app|docs|developer|developers|status|auth|dashboard|platform|console
kwai-pro.com,api
kwai.com,api|app|developers
kwaipros.com,api
labelbox.com,api|app|docs|status
ladepeche.fr,api
ladies.de,api
lanacion.com.ar,api|app|docs|developer|developers|status|auth|dashboard|platform|console
langchain.com,docs|auth
lastpass.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
later.com,app|docs|status|auth
lattice.com,app|developers|status
launchdarkly.com,app|docs|developers|status
launchpad.net,api
lausd.net,api
leadpages.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
leboncoin.fr,api|status|auth
lefigaro.fr,status
lemlist.com,api|app|developer|status
lemonde.fr,api
lenovo.com,app|platform
lequipe.fr,api|dashboard
leroymerlin.es,auth
leroymerlin.fr,api|app|docs|developer|developers|status|auth|dashboard|platform|console
letras.mus.br,api|app|docs|developer|developers|status|auth|dashboard|platform|console
letsencrypt.org,status
letterboxd.com,api|status
lever.co,api|app|docs|developer|developers|status|auth|dashboard|platform|console
lge.com,developer
librus.pl,api|app|docs|developer|developers|status|auth|dashboard|platform|console
life360.com,api|app|docs|auth
liftoff.io,app|docs
line.me,api|developers
linear.app,api|docs|developer|developers|status
linkedin.com,api|app|developer|developers|platform
linktr.ee,api|docs|status|auth
linkvertise.com,api|status
linode.com,api|developers|status
liquipedia.net,api|app
list-manage.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
listcrawler.eu,api|app|docs|developer|developers|status|auth|dashboard|platform|console
liteapks.com,auth
litix.io,api|app|docs|developer|developers|status|auth|dashboard|platform|console
litnet.com,api
live.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
live.net,api|docs
livechatinc.com,api|app|docs|developers|status|dashboard
livedoor.com,docs|auth
livejournal.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
livekit.io,docs|status
lk21official.cc,api|app|docs|developer|developers|status|auth|dashboard|platform|console
llamarpc.com,api
logrocket.com,api|app|docs|status
looker.com,api|app|docs|developers|status|auth|dashboard|platform|console
loom.com,developers|status
loops.so,app|status
lowes.com,api|developer|developers|auth|console
macys.com,api|developer|auth
magazineluiza.com.br,developer|console
mail.ru,api|app|docs|developer|developers|status|auth|dashboard|platform|console
mailchimp.com,api|developer|status
make.com,docs|developers|status
makemytrip.com,api
mangafire.to,api|app|docs|developer|developers|status|auth|dashboard|platform|console
mango.com,api
mangosip.ru,api|app|docs|developer|developers|status|auth|dashboard|platform|console
mapbox.com,api|docs|status|console
marca.com,app
marketo.com,app|docs|developer|developers|status
marketwatch.com,api
markmonitor.com,api|auth
marktplaats.nl,api|app|auth
marriott.com,app|status|auth
mashable.com,developer
mayoclinic.org,platform
mbga.jp,api|app
mcafee.com,app|platform
mckinsey.com,developer|auth|platform
mdpi.com,api|auth
me.com,auth
mechacomic.jp,api
medallia.com,api|docs|developer|developers|status|dashboard
mediaexpert.pl,api|app
mediafire.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
mediatek.com,api|developer|auth
medium.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
meesho.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
meethue.com,api|developer|developers|auth
meetup.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
mega.nz,docs
megafon.ru,api|app|auth
meilisearch.com,api|docs|status|console
meitu.com,api|app|docs
memcached.org,docs
meraki.com,api|docs|developer|developers|status|dashboard
mercadolibre.com.ar,developers|auth
mercadolibre.com.mx,developers|auth
mercadolivre.com.br,developers|auth
mercari.com,status|auth
mercury.com,api|app|docs
merkle.io,api|docs|status
merriam-webster.com,api
meta.com,developer|developers|auth
metabase.com,status
mhverifier.ru,api|app|docs|developer|developers|status|auth|dashboard|platform|console
mi.com,app
microsoft.com,api|docs|developer|developers
microsoftonline.com,auth
midjourney.com,api|docs|status|auth
miit.gov.cn,app
